question,answer
我想知道請求國家賠償的話，可以請求什麼項目？須提出哪些文件？,"以下僅簡要說明一般國家賠償案件之請求項目及須檢附之文件供參考，實際應檢附資料須視個案情形而定。若您有請求項目或金額上的疑義，建議您洽詢相關法律專業人士，以保障您的權益：
1.若被害人有受傷情形：
(1)醫療費：請檢附醫療院所出具之診斷證明書及醫療費用單據。
(2)生活需要之增加費用：請檢附相關單據，若係請求看護費用、營養品費或其他醫療用品，請一併檢附相關醫囑。
(3)勞動能力減損或喪失之損害賠償：請檢附醫師鑑定失能項目及失能等級資料、六個月內薪資證明等。
(4)不能工作之薪資損失：請檢附六個月內薪資證明及接受治療不能工作之期間之證明文件等。
(5)慰撫金：若有符合勞工保險失能給付標準附表所載失能等級，請一併檢附相關資料。
2.若財物上受有損害：
(1)修復費用或重置費用：請檢附相關單據等。
(2)具有耗損性質之材料，或修復需更換新品者，需折舊計算。
(3)有投保商業保險者，請檢附相關理賠資料。
3.若被害人不幸死亡
(1)殯葬費：如收殮費及埋葬費等，請檢附相關單據。
(2)扶養費：請檢附被害人年齡、扶養義務人人數等相關資料。
(3)醫療費：請檢附醫療院所出具之診斷證明書及醫療費用單據。
(4)生活需要之增加費用：請檢附相關單據，若係請求看護費用、營養品費或其他醫療用品，請一併檢附相關醫囑。
(5)慰撫金：以被害人之父、母、子、女及配偶為限。胎兒以將來非死產者為限，亦得請求慰撫金。
4.與有過失
若損害之發生或擴大，請求權人或被害人與有過失時，損害賠償數額將依過失之比例核減。"
我向機關請求之後都沒有下文，應如何處理？,您可先向賠償義務機關的承辦人洽詢辦理狀況，若您提出請求後，賠償義務機關自提出請求之日起超過30日不開始協議，或是自開始協議之日起超過60日協議不成立時，您可以依法向法院提起損害賠償之訴。
我為什麼收到拒絕賠償理由書？應如何處理？,若您收到拒絕賠償理由書，通常是被請求賠償損害的機關認為其非賠償義務機關或無賠償義務，而您若不服該拒絕賠償理由書，得依法向法院提起損害賠償之訴。
我不滿意機關提出的協議金額，應如何處理？,若您未申請發給協議不成立證明書，得請求賠償義務機關繼續協議，但以1次為限。或是您也可以依規定申請發給協議不成立證明書，再依法向法院提起損害賠償之訴。
"模特兒小芳與某建設公司富二代小明熱戀交往，小明為了表示對小芳的愛意，在交往期間分別贈送給小芳名牌香水、名牌包包、鑽石項鍊等貴重物品，小芳欣然接受。後來因為雙方個性不合，時常爭吵，於是協議分手。小明在分手後能要求小芳將之前受贈的名牌香水、名牌包包、鑽石項鍊返還嗎？ 
","按「稱贈與者，謂當事人約定，一方以自己之財物無償給與他方，他方允受之契約。」民法第406條定有明文。本案例中，小明係以無償之方式給與小芳名牌香水、名牌包包、鑽石項鍊等物品，所以小明與小芳之間成立贈與契約的法律關係。 
「贈與物之權利未移轉前，贈與人得撤銷其贈與。其一部已移轉者，得就其未移轉之部分撤銷之。」民法第408條第1項定有明文。由於小明贈與給小芳的名牌香水、名牌包包、鑽石項鍊均是『動產』，而依民法第761條第1項前段之規定：「動產物權之讓與，非將動產交付，不生效力。」由此可見，前揭物品既已交付給小芳，故所有權均已移轉，所以小明不得撤銷贈與，也不得要求返還。 
另外「受贈人對於贈與人，有左列情事之一者，贈與人得撤銷其贈與：一、對於贈與人、其配偶、直系血親、三親等內旁系血親或二親等內姻親，有故意侵害之行為，依刑法有處罰之明文者。二、對於贈與人有扶養義務而不履行者。」民法第416條第1項另定有明文。案例中，小芳並無前揭對於小明、小明的配偶、直系血親、三親等內旁系血親或二親等內姻親，有故意侵害之行為，依刑法有處罰之明文；或者對於小明有扶養義務而不履行的情事。所以，小明不得撤銷贈與，也不得要求返還贈送給小芳的物品。"
什麼是訴願？,"訴願為憲法所保障的權利，人民如果遭受公權力的行政處分侵害時，可依程序提起訴願救濟，矯正違法或不當處分，維護法規之正確適用及人民合法權益。
訴願種類大致可分為兩種：一種是人民對於中央或地方機關之行政處分，認為違法或不當，致損害其權利或利益者，得依本法提起訴願。例如：您某天收到了本府建設局的裁處書，裡面記載您於公園內違規騎機車裁罰1200元，這時候您若不服就可以依程序提起訴願來救濟。另一種是人民因中央或地方機關對其依法申請之案件，於法定期間內應作為而不作為，認為損害其權利或利益者，亦得提起訴願。例如您向行政機關依法申請，但是行政機關過了法定期間(法令如果沒有規定就是受理申請之日起二個月)都還沒有給您依法申請的結果，這時候就可以依程序提起訴願來救濟。"
什麼是行政處分？,行政處分是行政機關就公法上具體事件所為的決定或其他公權力措施而對外直接發生法律上效果的單方行政行為。簡單的說，若行政機關的行為直接影響人民權利義務關係，且實際上已對外發生效力，就有可能是行政處分。常見的行政處分例如：行政機關依據其主管法令作出的罰鍰、認定(中)低收入戶資格的函文、土地登記案件駁回通知書…等，如果對於行政處分不服，除了法律有特別規定的救濟程序(例如：道路交通管理處罰條例)外，可以提起訴願來救濟。
誰可以提起訴願呢？,"您若是受行政處分之相對人或利害關係人，則可以提起訴願，例如：您若收到了本府建設局的裁處書記載您為受處分人，您若不服該對外發生法律效力的行政處分，可以提起訴願來救濟您的權利。
另外若您為法人或非法人之團體，則應由代表人或管理人為訴願行為。若為無訴願能力人(例如：未成年人)應由法定代理人(例如：未成年人之父母)代為訴願行為。"
提起訴願需要準備什麼資料？訴願書怎麼寫呢？,"若您要提起訴願，請填寫「訴願書」，再由訴願人或代理人(若無則免填)簽名或蓋章，依法須填寫的欄位如下，訴願書格式可至此下載(https://www.legal.taichung.gov.tw/332230/post)：(1)訴願人之姓名、出生年月日、住、居所、身分證明文件字號。如係法人或其他設有管理人或代表人之團體，其名稱、事務所或營業所及管理人或代表人之姓名、出生年月日、住、居所。(2)有訴願代理人者，其姓名、出生年月日、住、居所、身分證明文件字號。(3)原行政處分機關。(4)訴願請求事項。(5)訴願之事實及理由。(6)收受或知悉行政處分之年、月、日。(7)受理訴願之機關。(8)證據。其為文書者，應添具繕本或影本。(9)填寫訴願書之年、月、日。
如果您有收到原行政處分，請附原行政處分書影本。如果是人民依法申請之案件，行政機關超過法定期間應該做成處分卻不為處分，訴願書請載明「應為行政處分之機關」、「當初提出申請之年、月、日」，並附原申請書之影本及受理申請機關收受證明。"
"剛從大學畢業的社會新鮮人阿翰，抱著滿腔的熱情踏出校園，更希望能將所學貢獻於工作。阿翰發現九天行銷公司正在招募企劃人員，他覺得自己除了勇於面對挑戰、積極進取的個性外，也同時具有溫柔及細膩的特質，應該能夠勝任企劃這個職位；但進入面試階段時，面試主管未曾詢問他企劃相關的專業問題，而是不停地詢問阿翰星座、血型及性傾向等敏感的問題，讓阿翰心中感到非常不舒服。請問面試主管之行為是否構成就業歧視呢？
","一、就業服務法第5條第1項規定：「為保障國民就業機會平等，雇主對求職人或所僱用員工，不得以種族、階級、語言、思想、宗教、黨派、籍貫、出生地、性別、性傾向、年齡、婚姻、容貌、五官、身心障礙、星座、血型或以往工會會員身分為由，予以歧視；其他法律有明文規定者，從其規定。」。
二、就業服務法第65條規定：「（第1項）違反第5條第1項……規定者，處新臺幣（下同）30萬元以上150萬元以下罰鍰。……（第3項）違反第5條第1項規定經處以罰鍰者，直轄市、縣（市）主管機關應公布其姓名或名稱、負責人姓名，並限期令其改善；屆期未改善者，應按次處罰。」。
三、本案例中阿翰遇到面試主管詢問許多與其所應徵之企劃工作無關的問題，可以向勞動主管機關檢舉；主管機關調查後，如認定九天行銷公司確有涉及就業服務法第5條第1項所定就業歧視情形，得依法處罰九天行銷公司30萬元以上、150萬元以下罰鍰，並可以公布公司名稱及負責人姓名。重視職業平等，並避免就業歧視，讓剛踏出校園的社會新鮮人都能在相同的起跑點上，繼續奮力向前！"
訴願要向誰提起？訴願書需要親送嗎？,"訴願要向原來做成處分的機關提起，例如原來是由本府社會局認定您不符合低收入戶資格，那訴願就是向本府社會局提起，原處分機關收到訴願後會先自我審查，如果沒有撤銷或變更原處分的話就會將訴願書交由訴願管轄機關審理。
另外訴願書並不限於親自送件，亦可以郵寄方式辦理，不過提起訴願的日期是以原行政處分機關或受理訴願機關「收受」訴願書的日期為準，請您務必注意訴願提起的時間。"
訴願有沒有提起的期間？,提起訴願，應自行政處分達到或公告期滿之次日起30日內為之。又訴願之期間，要以原行政處分機關或受理訴願機關收受訴願書之日期為準。
訴願可以委任代理人嗎？,訴願人如因事務繁忙無法親自進行訴願程序，或需要具有專業知識人士協助，可以委任律師、依法令取得與訴願事件有關之代理人資格者、具有該訴願事件之專業知識者、因業務或職務關係為訴願人之代理人者或與訴願人有親戚關係者為代理人，進行訴願程序，例如撰寫訴願書、到場陳述意見或進行訴願言詞辯論程序等等，而且訴願程序中行政機關的各種文書或訴願決定將直接送達給訴願代理人，並且發生等同於送達給「訴願人本人」的效力。但必須在最開始為訴願行為時，向受理訴願機關提出委任書，委任書格式可至此下載(https://www.legal.taichung.gov.tw/332230/post)。
提起訴願後行政處分還有效嗎？,行政處分如果沒有經撤銷、廢止，或未因其他事由而失效，效力繼續存在。另外提起訴願並沒有停止行政處分執行的效力，若您認為原行政處分的合法性顯有疑義或原行政處分執行將發生難以回復之損害，且有急迫情事，並非為維護重大公共利益所必要，得申請停止執行。
提起訴願後我又收到了一些文件，該怎麼處理？,"一般來說，提起訴願案後會收到的文件可能有：
1.錄案通知：通知您已經受理案件，請耐心等待後續通知。
2.補正通知：通知您須補正事項，請務必依來文內容補正，以免影響您的權益。
3.原處分機關答辯書：您可以檢視原處分機關的理由是否合法妥適，視情況可提出訴願補充理由。
另外若您在訴願期間有補充訴願理由，亦可向本府提出。"
訴願程序中我可以做什麼？,"簡要列舉您提起訴願後可申請的事項，紙本申請書可至此下載(https://www.legal.taichung.gov.tw/332230/post)，以下事項皆可進行線上申請(https://appeal.taichung.gov.tw/)，不過請您注意，提出申請後本府得視有無正當理由決定是否同意。
申請閱覽卷宗：訴願人可以向受理訴願機關請求閱覽、抄錄、影印或攝影訴願卷宗內文書，或原行政處分機關據以處分之證據資料。但必須依規定繳納費用及遵守法令對於閱覽卷宗的相關規定。
申請陳述意見或言詞辯論：訴願人可以向受理訴願機關請求陳述意見或言詞辯論，機關若同意，則會通知您到指定處所陳述意見或言詞辯論。"
我多久可以知道訴願結果？,原則上本府會自最後收受訴願書、補充理由或補正文件之次日起算，3個月內會做成訴願決定；必要時得予延長一次(最長2個月)。若經機關通知補正，未補正者，則前面的期間自補正期間屆滿之次日起算。
訴願決定書的主文是什麼意思？,"訴願主文就是訴願案的結果，以最常見的三種來做簡要說明：
1.訴願不受理：訴願在程序上不合規定(例如有訴願法第77條情形)而不受理。
2.訴願駁回：通常是訴願沒有理由，因此駁回訴願，原處分的效力原則上不受訴願決定的影響。
3.原處分撤銷：訴願有理由，原處分被撤銷。但行政機關有可能依法再次做成其他處分。"
對於訴願決定不服，要怎麼辦？可以再提一次訴願嗎？,"如果收到訴願決定書，但不接受訴願決定結果；或者提起訴願超過3個月受理訴願機關還沒做成訴願決定；或雖然延長訴願決定期間，但超過2個月不為決定，訴願人可以得向行政法院提起行政訴訟，至於應該向哪個法院起訴，可以參看訴願決定書最後部分的救濟教示說明。
目前除適用簡易程序的行政訴訟事件(例如：40萬元以下罰鍰處分…等)(詳行政訴訟法第229條)，要以「地方法院行政訴訟庭」為第一審管轄法院。其他行政訴訟事件則以「高等行政法院」為第一審管轄法院，適用通常訴訟程序。
另外依據訴願法第77條第7款規定，對於已決定的訴願事件重行提起訴願，將不予受理。"
我提起的訴願，誰是管轄機關？是誰在審理及決定的呢？,"依照訴願法第4條規定，若是由本府所屬機關所作出的行政處分(例如：本府建設局依照臺中市道路挖掘管理自治條例裁處罰鍰)，則為本府所管轄的訴願案件。而本府所管轄的訴願案件皆經由「臺中市政府訴願審議委員會」審議，該委員會成員中包含社會公正人士、學者、專家…等，訴願案皆經由專業、公正之委員書面審查並以多數決做出決定。
如果做成的行政處分是以「臺中市政府」的名義作成(例如：本府依據公路法裁處罰鍰)，那訴願提出後會交由中央主管機關管轄(例如：公路法中央主管機關為交通部，該訴願為交通部所管轄)。"
我若對違反道路交通管理事件通知單不服，可以訴願嗎？要如何救濟？,道路交通管理處罰條例有規定特別的救濟方式，所以若不服道路交通管理事件通知單的舉發事實(例如：該條例第56條的違規停車…等)，是收到違反道路交通管理事件通知單後30日內，先向處罰機關陳述意見。如果還是不服裁決，則應於收到裁決30日內直接向管轄的地方法院行政訴訟庭提起訴訟，而不是依照訴願方式提起救濟。如提起訴願，將依訴願法的規定作成不受理之決定。
"阿田是一位好爸爸，每天任勞任怨的工作，就是為了讓老婆及2個小孩有一個穩定的生活。某天，阿田下班騎車回家時，與開著賓士轎車的阿龍相撞，沒想到紅燈違規右轉的阿龍竟然將肇事責任都推給阿田，對阿田提出鉅額賠償。正當阿田不知所措之際，阿花透過Line與阿田聯繫，阿花除表明自己是律師外，更告訴阿田可以幫忙處理車禍事宜，為阿田找回公道。阿田要如何確定阿花是真的律師，而不是假律師呢？
",1.法務部為防免假律師詐騙的案件再次發生，開放網上查詢律師資料系統，民眾只要連上法務部網站，進入法務部建置之「律師查詢系統」並輸入律師姓名、或身分証統一編號或證書字號即可查詢律師之性別、出生年份、律師證書號碼、登錄法院及登錄公會等資料。系統中更提供各地律師公會的聯絡電話，民眾亦可逕向各地律師公會查詢。2.另外，司法院已辦理「破壞司法信譽案件」專案，並建立檢舉管道，若遇有疑似「司法黃牛」或「冒牌律師」挑唆或包攬訴訟而收取費用者，得逕向各法院政風室提出檢舉。3.本案中，阿田可以先要求阿花出示律師證書正本或告知律師證書字號，再上網尋找「法務部律師查詢系統」進行確認，於系統中輸入阿花的姓名或律師證書字號，就可以確認阿花是否為真律師，另外，阿田也可以聯繫本地的律師公會，向公會查詢阿花是否有加入本地的律師公會。最後，如果確定阿花係假冒律師名義，詐取律師費用，阿田也可以向本地法院政風室檢舉，防免再有其民眾受騙。
"家庭主婦阿花是韓國零嘴「小雞麵」的狂熱愛好者，某天，阿花突發奇想，想藉由網路販賣「小雞麵」的方式，跟大家分享「小雞麵」的美好味道。阿花為吸引網民注意，上網擷取美食網紅小草所拍攝的「小雞麵」美照，作為自己架設的網購網頁宣傳照。因受「小雞麵」美照吸引，阿花販賣的「小雞麵」銷售量直線上升，阿花也非常高興能將「小雞麵」的好味道推廣出去。然而，小草某天上網瀏覽時，赫然發現阿花未經同意使用他拍攝的照片，憤怒之下，對阿花提起告訴。請問阿花的行為是否有法律上之責任？
",1.「小雞麵」美照是網紅小草自行編排場景，並加以拍攝的照片，所以「小雞麵」美照係小草的攝影著作，小草對「小雞麵」美照的著作權受到著作權法的保護。2.按著作權法第88條第1項規定，因故意或過失不法侵害他人之著作財產權或製版權者，負損害賠償責任。第91條第1項規定，擅自以重製之方法侵害他人之著作財產權者，處3年以下有期徒刑、拘役，或科或併科新臺幣75萬元以下罰金。3.本案中，阿花未經小草的同意就擷取小草的攝影作品使用，已經侵害小草的著作財產權，依著作權法規定，阿花除須負民事上的損害賠償責任，更須負3年以下有期徒刑、拘役，或科或併科新臺幣75萬元以下罰金的刑事責任。
如果買賣房子買到兇宅如何是好？,"參考內政部訂定的不動產說明書應記載及不得記載事項，明確規定成屋應記載房屋專有部分在產權持有期間是否發生兇殺、自殺、一氧化碳中毐或其他非自然死亡情形。
屋內是否曾發生有人自殺致死的情形，是房屋交易的重要資訊，影響房屋的交易價值甚大，應認屬於交易上重大瑕疵而為出賣人物的瑕疵擔保責任範圍，故不論出賣人是否明知該事實，都不能免除物的瑕疵擔保責任，買方可依民法規定，在交屋5年內，解除契約或請求減少價金。
民法第354條第1項、第359條、第365條規定。"
租屋發生租賃物修繕問題怎麼辦？,"先看雙方所簽訂租約內容是否有約定，約定房客修繕，就是房客要負責；若約定由房東負責修繕或無約定，則由房東負責。至於修繕費用由誰來負擔 ，則要釐清物品壞掉原因，如果租賃物（如冷氣）使用久遠非人為因素破壞，則房東應負擔修繕費用。
若為房東因素，房東遲未修繕，房客可以先存證信函定相當期間催告房東修繕，如房東於期限內仍不為修繕，房客可以從應付的租金扣抵修繕費用。
民法第423條、第429條第1項、第430條、第432條第1項及第437條規定。"
旅遊學習出發前，消費者是否可以任意解除契約？,1.消費者於旅遊學習活動開始前得解除契約，但應繳交行政規費，並依下列標準賠償遊學服務業者的損失：消費者通知解約時間消費者賠償遊學服務業者的損失遊學開始前31日以前旅遊學習費用的10%遊學開始前21日至30日以內旅遊學習費用的20%遊學開始前2日至20日以內旅遊學習費用的30%遊學開始前1日旅遊學習費用的50%遊學開始日或開始後旅遊學習費用的100%2.前面作為賠償計算基準的旅遊學習費用，應以旅遊學習費用總額扣除遊學服務業者所收的報酬及支出的行政規費後計算之。
買到過期食品、問題食品、該怎麼辦？,1.依消費者保護法第7條及第8條的規定，業者應確保對其所提供的商品或服務，無安全或衛生上的危險應負無過失責任；且業者也必須對商品的瑕疵負起連帶賠償的責任。2.如果不小心買到過期食品，或是買回的食品發現有異樣，消費者可以將該食品連同購買證明（例如發票等），攜回原購物地點要求退換貨；並向當地縣市政府衛生單位檢舉，若情況嚴重且有必要時，衛生單位還會要求業者全面回收。
小明與小華是大學同學，大學畢業後因兩情相悅，懷有一子A，後來因故雙方並未結婚，由小華負責撫養A子，A子7個月大時，小明依法認領A子，且雙方約定A子之權利義務之行使或負擔由小明與小華共同任之，但後來小華發送LINE訊息或撥打電話給小明均不予理會，迄今無任何聯繫，自此小明對未成年A子不聞不問，未成年A子由小華單獨扶養照顧。請問小華可否向法院請求改定未成年A子之權利義務之行使或負擔？法院將會如可考量？,（1）	民法有關改定親權之相關規定：按非婚生子女經認領者，關於未成年子女權利義務之行使或負擔，準用民法第1055條、第1055條之1 及第1055條之2 之規定，民法第1069條之1定有明文。次按夫妻離婚者，對於未成年子女權利義務之行使或負擔，依協議由一方或雙方共同任之；前項協議不利於子女者，法院得依主管機關、社會福利機構或其他利害關係人之請求或依職權為子女之利益改定之；行使、負擔權利義務之一方未盡保護教養之義務或對未成年子女有不利之情事者，他方、未成年子女、主管機關、社會福利機構或其他利害關係人得為子女之利益，請求法院改定之；前三項情形，法院得依請求或依職權，為子女之利益酌定權利義務行使負擔之內容及方法，民法第1055條第1項前段及第2、3、4項分別定有明文。又按法院為前條裁判時，應依子女之最佳利益，審酌一切情狀，尤應注意下列事項：一、子女之年齡、性別、人數及健康情形。二、子女之意願及人格發展之需要。三、父母之年齡、職業、品行、健康情形、經濟能力及生活狀況。四、父母保護教養子女之意願及態度。五、父母子女間或未成年子女與其他共同生活之人間之感情狀況。六、父母之一方是否有妨礙他方對未成年子女權利義務行使負擔之行為。七、各族群之傳統習俗、文化及價值觀。前項子女最佳利益之審酌，法院除得參考社工人員之訪視報告或家事調查官之調查報告外，並得依囑託警察機關、稅捐機關、金融機構、學校及其他有關機關、團體或具有相關專業知識之適當人士就特定事項調查之結認定之，民法第1055條之1 亦有明文。（2）本案例未成年A子長期由小華負擔實際照顧責任，由小華加以關懷、保護，持續至今，小華實已擔任A子『主要養育者』角色，且未成年A子於小華養育、照顧期間受照顧狀況良好，若生活環境驟然改變，對未成年A子身心恐生適應上之不利影響，小華亦無其他不良習性，則由小華擔任未成年A子之權利義務之行使或負擔，應屬適當，亦符合未成年子女之最佳利益。從而，小華請求法院對於兩造所生未成年A子權利義務之行使或負擔，改定由小華任之，應為有理由。
妻因被夫毆打，法院核發保護令且離家數日，期間未照顧小孩和家庭，夫能以此訴請離婚嗎？,	按夫妻之一方以惡意遺棄他方在繼續狀態中，他方得向法院請求離婚，民法第1052條第1項第5款定有明文。次按夫妻互負同居之義務。但有不能同居之正當理由者，不在此限。同法第1001條亦有明定。妻聲請保護令，如有正當理由而離家（例如：主張被毆打，有證人及驗傷單等等），將不會構成民法第1052條第1項第5款之規定，故夫嘗試以妻子不照顧孩子及家庭為由訴請離婚，則不會被法院所准許。至於妻因夫對其有家庭暴力（毆打）行為，聲請法院核發通常保護令，妻因而暫時離家，且於保護令有效期間內拒絕返回夫妻共同住所與夫同居，尚難謂無正當理由。惟假設上開保護令有效期間自106年6月5日起失效，且夫之毆打行為之情節並非嚴重，妻除有其他正當事由，自應履行同居義務，故夫至少必須等到保護令所記載之期間已經超過，並再次請妻返家，屆時若妻仍不願返家，才能再訴請離婚，或是2人協議離婚。如果妻於保護令期間經過後仍不願返家，最好先對妻提起「請求履行同居義務」之訴，待法院判決勝訴確定後，若妻子仍不願返家，再以民法第1052條第1項第5款之規定「惡意遺棄」為由訴請離婚。但提醒大家，切勿再度使用精神上或肢體上之任何暴力行為解決問題，才有改善夫妻婚姻關係的機會。
小華帶小朋友至某餐廳用餐，該餐廳對於身高110公分以下或6歲以下之孩童訂有兒童優惠價，由於其小朋友未滿6歲，身高雖已逾110公分，認為餐廳業者針對其小朋友部分應該以兒童優惠價結帳，但餐廳堅持其已明白公告優惠條件，且該小朋友身高明顯已逾110公分，自可收取全額費用，請問誰的主張有道理？,依兒童及少年福利與權益保障法第33條規定，國內大眾交通運輸、文教設施、風景區與康樂場所等場所，應以年齡做為未滿12歲之兒童優惠措施認定。因此過去以身高作為兒童優惠措施標準，使得同等年紀但因發育較好，長得較高的兒童卻不能享受優惠措施之不合理情況已逐漸獲得改善。但由於法規並未規範到餐廳，因此目前餐廳業者對於兒童優惠措施認定標準並不一致，有的採身高，有的採年齡，有的兩者兼採，且縱使採身高認定，各餐廳對於兒童的身高亦無統一標準，使得類似糾紛時有所聞。由於目前法規並未強制要求餐廳業者應以年齡做為兒童優惠措施之認定標準，所以業者以身高、年齡或兼採兩者標準為認定並非違法，消費者在用餐前可先於業者官網或電洽業者採取何種兒童優惠條件，並據以選擇進行消費之餐廳。
小美在家接到數位教材行銷電話，業務員告知國中全科3年並搭配真人諮詢服務，每月只要2900元，分期3年，坊間補習單科每月學費就超過3000元，數位教材在家學習，經濟實惠，十分划算。小美覺得心動，同意訂購，業者隔日就派專人將安裝數位教材，並將所有教材提供給小美，初期時常關心小美家的學習狀況，但漸漸的就沒關心電話。2個月後，小美發現小孩的學習狀況不好，成績反而退步，小美覺得數位教材的學習方式不適合自己的小孩，告訴業者要退貨，但業者卻表示已逾7日猶豫期，拒絕退貨，請問小美該怎麼辦？,目前教材糾紛中，常見消費者尋求協助的事由：1、兒童使用意願不高：由於目前教材業者多已不採分次給付教材的方式，而是以一次性提供電腦硬碟及相關書籍，且該硬碟不需上網即可觀看，因此雖然業者提供分期付款（通常是分期「貸款」），但不代表消費者可以中途喊停，換言之，數位教材與一般補習服務是全然的不同，實體補習課程依法可中途終止契約，但數位教材是一次性給付，如同分期購買車輛，無法以孩童使用效果不佳或不願意使用教材而主張退回商品或停止付款。2、說好的課輔服務：有些業者推銷教材時會搭配真人諮詢服務，甚至是到家家教的課輔老師，但專人諮詢服務往往是「電話」諮詢服務，課輔服務通常是有時數限制，因此如果業者表示有諮詢服務，消費者應該要詢問清楚諮詢服務的方式與時間，並且需載明於契約上，避免事後陷入雙方各說各話的窘境。3、分期貸款費用過高，無法負擔：消費者於簽署教材訂購單時，應評估自身財力狀況，勿以「單一分期之費用」為財力評估，而應以應繳之總額以及能否「長期」、「持續」繳納該筆貸款為考量，應該要多加思考，並與家人好好溝通，切勿衝動購物。業者教材推銷的方式推陳出新，消費者務必「停、看、聽」，「停」—不要衝動購物，；「看」—仔細詳閱契約再簽約；「聽」—多多蒐集相關業者資訊，了解業者評價。購買數位教材務必要審慎思考，把握訪問買賣7日猶豫期解約退貨權益，莫讓「省錢」變成「花大錢」，徒生消費爭議困擾。
小明為增進自身外語能力，報名某家短期美語補習班近5萬元的美語課程，修業期間自104年8月1日至105年7月31日，後因工作繁忙已無心力進修課程，自104年10月起陸續請假未上課，實際僅上課僅5堂課，並於105年12月以電話告知當初課程招攬業務員欲解除契約。惟補習班以消極態度推拖，遲遲未回應退費小明之訴求，直至小明向消保官提出申訴後，補習班始以小明提出消費申訴之日認定為解約日期，請問小明該怎麼辦？,目前補習糾紛中，常見消費者爭執點： 1、補習班僅能就實際有上課部分收取學費？!    學員報名補習班後離班，補習班應如何退費，須依各縣市政府相關法規之規定。案例中之補習班如設址於臺中，且小明報名的修業期限長達1年，則應依臺中市短期補習班管理規則第27條第3項及第36條第1項及第3項規定辦理退費。另須提醒並注意的，學員如果有翹課或請假的情形，因補習班已提供課程服務，係屬學員自行放棄上課權益，故翹課或請假仍應算入已上課（業者已提供服務）之期間，因此案例中小明雖自105年10月起已陸續請假未上課，但直至終止契約的這段期間仍應算入上課期間之比例中。2、電話告知補習班不補了？! 消費者雖僅以電話通知業者終止契約，但此終止契約之意思表示傳達至業者時，即生效力，但以電話表達終止之意，並無法留下具體傳達解約之證據，故當補習班否認收到學員終止契約通知時，將使學員面臨舉證上的困難，在費用退還上也將遭受重大不利益。因此提醒學員，補習退費終止契約日期影響退費權益重大，終止契約意思表示宜以郵局存證信函或書面掛號等方式傳達，儘量保留確切終止契約證據，避免發生類似紛爭。備註：1、	臺中市短期補習班管理規則第27條 ：補習班修業期限為一個月至一年六個月。前項修業期限超過六個月未滿一年者，應分為二期；逾一年者，應分為三期，每期不得逾六個月。授課時數每班每週不得逾四十四節，授課時間每節以五十分鐘為原則。補習班招生、收費及課程，應依前項各期分別為之。2、	臺中市短期補習班管理規則第36條 ：補習班學生繳納費用後離班者，補習班應依下列規定辦理退費： 一、學生於開課日三十日前提出退費申請者，退還當期開班約定繳納費用總額百分之九十五，惟補習班所收取之百分之五部分最高不得超過新臺幣一千元。 二、學生於開課日前三十日內提出退費申請者，退還當期開班約定繳納費用總額百分之九十。三、學生於實際開課日起至第十日前，且未逾全期（或總課程時數）三分之一期間內提出退費申請者，退還當期開班約定繳納費用總額百分之八十。四、學生於實際開課日第十日起且未逾全期（或總課程時數）三分之一期間內提出退費申請者，退還約定繳納費用百分之六十。五、學生於全期（或總課程時數）三分之一以上且未逾全期(或總課程時數)二分之一期間內提出退費申請者，退還約定繳納費用百分之四十。六、學生於全期（或總課程時數）二分之一以上提出退費申請者，所收取之當期費用得全數不予退還。補習班於實際開課日後提供免費課程之時數，應納入學習總時數計算，並依前項各款方式辦理退費；所送免費課程為終身者，以十五年計算。實際開課日前提供免費課程之時數，不予計入亦不得收費。補習班違反第二十七條第三項規定預收費用者，其預收部分在該期開課前應全額退還。第一項約定繳納費用總額，不得扣除補習班訂定之報名費、訂位金或其他收費項目。補習班所收取之代辦費應全額退還。但已購置成品者，發給成品。課程開始後始報名插班者，應以報名後該課程最近一次上課日作為第一項所稱開課日，並以該課程剩餘期間作為總課程時數。但契約另定第一次上課日者，從其約定。學生課程權益（時數、堂數或期間等）之認定，依雙方約定為準；未約定者，依實際開課情形認定。學生僅繳納定金，於開課前即離班者，補習班不得要求其補足補習班依第一項第一款至第二款規定得扣除之學費不足額部分。
